Player Name,Player Code
Valeriy Bondar,904850
Mykola Matviyenko,353272
Andriy Lunin,857574
Oleksandr Tymchyk,978286
Vladyslav Vanat,976374
Bohdan Mykhaylichenko,793931
Mert Günok,39573
Zeki Çelik,893008
Merih Demiral,806968
Samet Akaydin,863600
Okay Yokuşlu,97967
Orkun Kökçü,907461
Kerem Aktürkoğlu,903324
Arda Güler,1091116
Cenk Tosun,72127
Hakan Çalhanoğlu,135700
Yusuf Yazıcı,827804
Altay Bayındır,815890
Ahmetcan Kaplan,1064177
Abdülkerim Bardakcı,178963
Salih Özcan,795005
İsmail Yüksek,952600
İrfan Kahveci,226986
Mert Müldür,836683
Kenan Yıldız,1149011
Ferdi Kadıoğlu,825844
Barış Alper Yılmaz,904096
Kaan Ayhan,138152
Uğurcan Çakır,754330
Semih Kılıçsoy,1142606
Yunus Akgün,857738
Bertuğ Yıldırım,1382235
Giorgi Loria,37098
Otar Kakabadze,182023
Lasha Dvali,182025
Guram Kashia,43136
Solomon Kvirkvelia,95636
Giorgi Kochorashvili,886402
Khvicha Kvaratskhelia,889259
Budu Zivzivadze,149728
Zuriko Davitashvili,921369
Giorgi Chakvetadze,858191
Giorgi Kvilitaia,300412
Luka Gugeshashvili,827472
Giorgi Gocholeishvili,1035752
Luka Lochoshvili,827473
Giorgi Gvelesiani,120513
Nika Kvekveskiri,79632
Otar Kiteishvili,797994
Sandro Altunashvili,827470
Levan Shengelia,363750
Anzor Mekvabishvili,965260
Giorgi Tsitaishvili,875677
Georges Mikautadze,1009372
Saba Lobzhanidze,584874
Jemal Tabidze,287607
Giorgi Mamardashvili,930997
Gabriel Sigua,1153198
Rui Patrício,17737
Nélson Semedo,252821
Pepe,5884
Rúben Dias,318941
Diogo Dalot,843200
João Palhinha,364612
Cristiano Ronaldo,750
Bruno Fernandes,288205
Gonçalo Ramos,934510
Bernardo Silva,331209
João Félix,851671
José Sá,262906
Danilo Pereira,99545
Gonçalo Inácio,1001196
João Neves,1190933
Matheus Nunes,945122
Rafael Leão,851284
Rúben Neves,280955
Nuno Mendes,989768
João Cancelo,138892
Diogo Jota,606164
Diogo Costa,843115
Vitinha,902029
António Silva,1006069
Pedro Neto,879349
Francisco Conceição,979222
Jindřich Staněk,280601
David Zima,963084
Tomáš Holeš,151440
Robin Hranáč,957615
Vladimír Coufal,138024
Martin Vitík,1085913
Antonín Barák,330705
Petr Ševčík,282971
Adam Hložek,963801
Patrik Schick,280609
Jan Kuchta,824139
David Douděra,891442
Mojmír Chytil,826049
Lukáš Provod,846122
David Jurásek,1030711
Matěj Kovář,927366
Václav Černý,280631
Ladislav Krejčí,856250
Tomáš Chorý,188307
Ondřej Lingr,794968
Lukáš Červ,952114
Tomáš Souček,799041
Vítězslav Jaroš,927359
Tomáš Vlček,907174
Pavel Šulc,957604
Matěj Jurásek,1008382
