Player Name,Player Code,Tournament,Outcome,Zone,X,Y,api_id,Scored,Attempts,Number,Nationality,Position,Age,Caps,Goals,Club
Deniz Undav,794298,Pro League,1,2,48.92,92.67,16627,7,8,26,GER,3,27,2,0,VfB Stuttgart
Deniz Undav,794298,Challenger Pro League,1,1,32.26,96.83,16628,7,8,26,GER,3,27,2,0,VfB Stuttgart
Deniz Undav,794298,Challenger Pro League,1,3,66.67,97.83,16629,7,8,26,GER,3,27,2,0,VfB Stuttgart
Deniz Undav,794298,Challenger Pro League,1,6,30.65,59.83,16630,7,8,26,GER,3,27,2,0,VfB Stuttgart
Andrew Robertson,262911,EFL Cup,1,1,38.71,81.0,11670,1,1,3,SCO,1,30,71,3,Liverpool
Scott McTominay,879346,FA Cup,1,1,34.41,90.5,285,3,3,4,SCO,2,27,49,8,Manchester United
Scott McTominay,879346,"European Championship, Qualification Playoff",1,1,30.11,99.0,286,3,3,4,SCO,2,27,49,8,Manchester United
Scott McTominay,879346,"European Championship, Qualification Playoff",1,1,35.48,99.0,287,3,3,4,SCO,2,27,49,8,Manchester United
John McGinn,250223,"European Championship, Qualification Group A",1,1,38.17,93.67,3798200,2,2,7,SCO,2,29,66,18,Aston Villa
John McGinn,250223,"European Championship, Qualification Playoff",1,1,39.25,96.83,16654,2,2,7,SCO,2,29,66,18,Aston Villa
Callum McGregor,97046,Premiership,3,5,78.49,93.67,813,5,7,8,SCO,2,31,60,3,Celtic
Callum McGregor,97046,"UEFA Europa League, Group G",2,3,67.74,78.83,814,5,7,8,SCO,2,31,60,3,Celtic
Callum McGregor,97046,"UEFA Europa League, Group H",1,3,73.12,99.0,815,5,7,8,SCO,2,31,60,3,Celtic
Callum McGregor,97046,"European Championship, Qualification Playoff",1,8,67.74,61.0,816,5,7,8,SCO,2,31,60,3,Celtic
Callum McGregor,97046,"European Championship, Qualification Playoff",1,3,73.12,67.33,817,5,7,8,SCO,2,31,60,3,Celtic
Callum McGregor,97046,Premiership,1,3,67.74,94.67,818,5,7,8,SCO,2,31,60,3,Celtic
Callum McGregor,97046,Premiership,1,3,65.59,95.83,819,5,7,8,SCO,2,31,60,3,Celtic
Lawrence Shankland,237098,Premiership,1,6,29.03,61.0,6061159,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,6,29.03,55.67,6056998,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,3,69.35,76.83,5955523,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,2,1,30.65,87.33,5599761,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,2,2,43.55,95.83,5369445,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,3,4,20.43,92.67,5008414,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Scottish League Cup,1,3,72.04,94.67,6058624,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,"UEFA Europa Conference League, Qualification Playoff",1,1,26.88,86.33,901795,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,"Premiership, Championship Round",1,7,56.45,65.17,43590,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,1,30.11,73.67,43189,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,1,35.48,92.67,34765,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,3,72.58,80.0,32443,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,1,27.42,91.5,31404,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,3,70.43,75.67,31345,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,2,51.08,90.5,31162,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,1,25.81,89.5,14810,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,1,38.71,93.67,14811,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,7,48.39,63.0,14812,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,"UEFA Europa Conference League, Group A",1,8,72.58,45.17,14813,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Premiership,1,3,69.35,88.33,14814,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Pro League,1,1,34.41,99.0,14815,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,"Premiership, Relegation Round",0,9,9.14,97.67,14816,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,"European Championship, Qualification Playoff",1,1,29.03,99.0,14817,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Championship,1,8,72.04,52.5,14818,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Championship,1,3,68.28,91.67,14819,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Championship,1,3,71.51,83.83,6048663,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Championship,1,1,25.27,91.67,6048664,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Championship,1,3,75.27,71.33,6048665,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,League One,1,2,40.86,90.83,6048666,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Lawrence Shankland,237098,Championship,0,9,3.76,87.67,6048667,25,30,9,SCO,3,28,11,3,Heart of Midlothian
Ché Adams,773409,EFL Cup,1,1,32.8,97.83,1082,3,3,10,SCO,3,27,30,6,Southampton
Ché Adams,773409,Championship,1,3,72.58,99.0,6045766,3,3,10,SCO,3,27,30,6,Southampton
Ché Adams,773409,League One,1,2,54.84,69.83,6045767,3,3,10,SCO,3,27,30,6,Southampton
Ryan Christie,322391,"UEFA Nations League, League B, Gr. 1",1,2,59.14,97.83,1012,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,EFL Cup,1,1,29.57,72.5,1013,9,11,11,SCO,3,29,49,6,Bournemouth
